episode,reward,avg_q,avg_target
0,-88.76995785055647,0.08523079007863998,-0.9893571175634861
1,-285.34095545286334,1.2478704452514648,-9.56501919704099
2,-125.07614881975583,2.1320900917053223,-7.065159381014629
3,-28.07126949274405,4.038926124572754,-6.969423781361496
4,-30.430948623308126,5.088639259338379,-5.504615382317009
5,-188.74026179157994,5.433929443359375,-1.9788093859553337
6,-364.90036278618123,4.402576923370361,-2.4994152046062728
7,-159.44853858436423,5.158668041229248,-4.120379585240569
8,-209.6619980046616,4.360167980194092,-3.870491951278278
9,-282.04701140231674,4.066650390625,-4.817232880088472
10,-87.19668319525915,10.055569648742676,-2.3680661840316577
11,-229.4676117831638,8.573674201965332,-1.596646748082612
12,-136.5544124162023,8.340086936950684,-1.6963593348280175
13,-125.25578310783264,8.464465141296387,-2.124792089064916
14,-400.90249916922767,10.52401351928711,-1.8598827099607838
15,-309.0661400327603,10.022159576416016,-2.000604615952724
16,-210.79770284070526,11.079936981201172,-3.0423374204959686
17,-172.8563107529235,13.728449821472168,-2.497892804380156
18,-373.15161845254283,12.848044395446777,-3.585187975427892
19,-273.5811400521313,12.498883247375488,-3.721550274802291
20,-142.17987573389095,14.937355995178223,-3.517819872865938
21,-111.45495508896249,17.827682495117188,-3.1250925142975414
22,-265.94220863207397,16.446025848388672,-2.3667405487622246
23,-135.34283820118324,16.567218780517578,-1.5663129036363803
24,-87.85154613492148,15.309091567993164,-1.8511772602796555
25,-177.64526735472657,14.85378646850586,-1.1011651260778308
26,-145.424447935491,16.966028213500977,-1.941072686064628
27,-205.79198906374313,15.905552864074707,-1.097515137022377
28,0.7082784848528547,15.548879623413086,-0.7962386399507523
29,-390.1306025082472,15.570704460144043,-0.05033584253503642
30,-227.1696934861784,16.440406799316406,0.4022244533024183
31,-37.469419127541826,16.973108291625977,-0.5519700319301791
32,-179.36934892445174,17.038312911987305,-0.8315818248937528
33,-129.83502129470185,18.188936233520508,-1.371415638453082
34,-93.21754117002725,17.69318389892578,-1.86187169491575
35,-122.44282917505723,17.251934051513672,-1.221247170703957
36,-190.4519544096774,18.125202178955078,-3.240848431716094
37,-134.16666327314965,18.05938148498535,-3.6093261392187266
38,-108.57186677684462,18.507722854614258,-3.7147418801174608
39,-95.49003741019395,19.990680694580078,-4.1261645288039475
40,-245.8481253061158,20.91104507446289,-5.160117692039126
41,-383.465924342439,20.835996627807617,-4.617646238600561
42,-177.03895945504115,21.335145950317383,-5.296521934298422
43,-171.55853241841209,19.998912811279297,-6.06002946251205
44,-291.47033555380176,22.28376007080078,-6.9090133378138905
45,-177.70427761342927,21.086681365966797,-7.261310243117276
46,22.43441931543731,22.989591598510742,-6.995622984778422
47,-282.5663274842982,20.730215072631836,-6.925242354285042
48,-101.62616827247402,21.958803176879883,-6.914549234292365
49,-103.57667197804874,22.51520538330078,-6.339182158778695
50,-146.28880253376607,22.047964096069336,-6.731561107150579
51,-309.63252999806497,22.652807235717773,-7.433350521647288
52,-142.1907466354201,22.923795700073242,-7.793381745190848
53,-297.49297395961486,22.091646194458008,-7.6171924737947325
54,-180.82677254014925,23.486225128173828,-8.762600082581438
55,-114.50028286108281,25.183311462402344,-7.997370574834211
56,-94.22939701898703,23.838476181030273,-7.516756876475281
57,-147.2507897806687,24.506742477416992,-7.818040470805085
58,-126.57954382904498,24.441871643066406,-9.049734574453584
59,-54.5396589420359,24.34979820251465,-7.498807979138541
60,-154.97918676516463,25.016529083251953,-7.4598383129688735
