episode,reward,avg_q,avg_target
0,-86.65782305823305,0.13232344388961792,-0.19446924328804016
1,-181.9382302636136,1.1004760265350342,-1.0357912348818432
2,-132.6589445498963,1.8884943723678589,-1.2482038773596287
3,-271.5336268445044,1.555870771408081,-1.2922649701538773
4,-100.4235117302699,2.652684211730957,-1.4534196074283312
5,-125.14144035100148,4.956358432769775,0.00348314504290736
6,-355.26547041298704,4.235063076019287,0.1071783422113775
7,-99.70829601030516,3.3109874725341797,0.2088269449588729
8,-96.67053408248827,3.4690024852752686,-0.10970751643180847
9,-414.0918833706169,3.5559301376342773,-0.104468994470964
10,-124.50478094557745,5.663547992706299,0.8914333899815877
11,-176.92307808406144,5.823355674743652,0.9515996750858094
12,-86.31951501358895,4.5917649269104,1.1138852775096892
13,-251.18547042211466,4.601384162902832,1.1957569594184558
14,-141.78163185513188,4.02279806137085,0.8437727277327065
15,-471.13939671467654,4.754179000854492,1.2493806273218184
16,-283.7339363233174,5.108330249786377,1.7980532289720048
17,-171.75178469138197,4.2994489669799805,1.7279136922415785
18,-467.4786049955123,4.9163312911987305,1.6977159769347545
19,-101.99238294679517,4.92893648147583,1.5998426068912852
20,-73.69755774035123,3.657578706741333,1.657719274884776
21,-214.46441459431108,2.557183027267456,1.6812866869426908
22,-202.82609248423466,4.012668609619141,1.5036545171596036
23,-104.00290271045682,3.672055721282959,1.990441267327829
24,-458.6194794046079,3.3329949378967285,1.6342793188311837
25,-92.45017619506251,4.276591777801514,1.858561904293246
26,-163.24248562262753,2.658966064453125,1.4761313524576698
27,-62.405172805221625,2.9859509468078613,1.6556087284133985
28,-96.20756176138063,4.303773403167725,1.942848055220362
29,-93.00264731117525,4.502610683441162,1.9612731291697576
30,-337.152345885586,4.007524013519287,1.9614531237120723
31,-237.8364679043332,3.6569573879241943,1.9974025650772937
32,-82.98881307365336,4.373855113983154,1.9327772103302867
33,-314.8304349991863,4.430774211883545,1.8782810690629221
34,-44.70609684210382,4.061976909637451,1.6130783981084824
35,-51.205295025478804,3.9302148818969727,1.8528165061299393
36,-4.224237068520196,2.732095241546631,1.7723274677991867
37,-35.94434908104634,4.43331241607666,1.5103125329695495
38,-93.19983076336794,4.163426399230957,1.7366406061710455
39,-209.65090954948926,3.744133710861206,2.1186040973379496
40,-78.0950507652059,3.819689989089966,1.9815933129402121
41,-127.47394502405913,4.522817134857178,2.0377240313615412
42,-67.61839620651082,3.4031810760498047,2.129998218420653
43,-165.83398318230158,3.751162052154541,1.8138818537747419
44,-217.44263136378595,2.949655771255493,2.0798261321465903
45,-12.113971619513222,3.9163930416107178,2.1826198426159946
46,-78.91362525736524,3.6588175296783447,2.4154869407197856
47,-120.06926507791763,4.236733913421631,2.409479739481233
48,-268.585421603119,3.6634392738342285,2.4327240533908543
49,-46.40294219860196,3.2950656414031982,1.723455089562352
50,-58.83140221998857,4.744880199432373,2.0748444595869553
51,-4.323177668732782,4.349897861480713,2.044499433368718
52,14.309506019312138,4.132589817047119,2.28381547050656
53,-161.19665791822683,4.9125165939331055,2.523327123373747
54,-26.699757629990387,4.142953872680664,2.5543923325908993
55,-33.2082171581915,3.9171416759490967,2.469254298093624
56,-41.84006191106643,5.564435958862305,2.909543200094897
57,-253.36220095822975,4.098863124847412,3.4195717398936933
58,-24.595125430955576,5.229612350463867,3.972522780785405
59,-58.45754715128555,4.5436811447143555,3.6724898984123553
60,-151.23475358101973,5.9431328773498535,4.4868733417391775
61,-143.5668582584939,7.3212971687316895,5.475264912337065
62,-109.76876789516133,8.0613374710083,6.156366295844316
63,-113.6945065616598,7.083970546722412,6.5140643896460535
64,-73.28880344448544,6.081798076629639,6.99421937084198
